                             Datetime,open,high,low,close,volume,Interval,currency,exchange_timezone,exchange
26-08-2021 14:45,147.88,147.94009,147.86,147.91499,62009,1min,USD,America/New_York,Common Stock
26-08-2021 14:44,147.8878,147.8999,147.86,147.8799,77769,1min,USD,America/New_York,Common Stock
26-08-2021 14:43,147.8882,147.935,147.87041,147.8821,80793,1min,USD,America/New_York,Common Stock
26-08-2021 14:42,147.97,147.97,147.88,147.88,66909,1min,USD,America/New_York,Common Stock
26-08-2021 14:41,147.97,148,147.96001,147.97501,36084,1min,USD,America/New_York,Common Stock
26-08-2021 14:40,148.015,148.03,147.9722,147.9782,43812,1min,USD,America/New_York,Common Stock
26-08-2021 14:39,148.005,148.02499,147.98,148.0101,64169,1min,USD,America/New_York,Common Stock
26-08-2021 14:38,147.96001,148.015,147.95,148.0032,69016,1min,USD,America/New_York,Common Stock
26-08-2021 14:37,147.965,147.97,147.9314,147.9619,68605,1min,USD,America/New_York,Common Stock
26-08-2021 14:36,147.96519,147.985,147.95,147.9601,40349,1min,USD,America/New_York,Common Stock
26-08-2021 14:35,147.97501,147.9827,147.95,147.96001,58131,1min,USD,America/New_York,Common Stock
26-08-2021 14:34,147.99001,147.99001,147.9601,147.97501,44236,1min,USD,America/New_York,Common Stock
26-08-2021 14:33,147.995,148.02,147.97,148.00011,86103,1min,USD,America/New_York,Common Stock
26-08-2021 14:32,147.99001,148.03999,147.98,147.99001,78264,1min,USD,America/New_York,Common Stock
26-08-2021 14:31,147.94,147.99001,147.92999,147.98,56478,1min,USD,America/New_York,Common Stock
26-08-2021 14:30,147.98,147.98,147.9201,147.94501,42524,1min,USD,America/New_York,Common Stock
26-08-2021 14:29,147.99989,148.00999,147.98039,147.9846,42354,1min,USD,America/New_York,Common Stock
26-08-2021 14:28,148,148.00999,147.9899,147.993,51772,1min,USD,America/New_York,Common Stock
26-08-2021 14:27,147.94,148.0103,147.93221,148,58907,1min,USD,America/New_York,Common Stock
26-08-2021 14:26,147.925,147.98,147.89999,147.955,86838,1min,USD,America/New_York,Common Stock
26-08-2021 14:25,147.96001,147.97,147.91,147.925,45013,1min,USD,America/New_York,Common Stock
26-08-2021 14:24,147.94279,147.95731,147.91,147.955,91735,1min,USD,America/New_York,Common Stock
26-08-2021 14:23,147.99989,147.99989,147.92,147.9399,77557,1min,USD,America/New_York,Common Stock
26-08-2021 14:22,148,148.02,147.9601,147.998,53554,1min,USD,America/New_York,Common Stock
26-08-2021 14:21,147.955,148.02,147.95,147.995,93554,1min,USD,America/New_York,Common Stock
26-08-2021 14:20,147.91499,147.96001,147.905,147.955,43018,1min,USD,America/New_York,Common Stock
26-08-2021 14:19,147.95151,147.9586,147.905,147.91071,51262,1min,USD,America/New_York,Common Stock
26-08-2021 14:18,147.9608,147.99001,147.95,147.96001,60088,1min,USD,America/New_York,Common Stock
26-08-2021 14:17,147.95,147.96989,147.925,147.9608,55130,1min,USD,America/New_York,Common Stock
26-08-2021 14:16,147.98,147.99989,147.955,147.9599,65017,1min,USD,America/New_York,Common Stock
26-08-2021 14:45,147.88,147.97501,147.86,147.97,187368,5min,USD,America/New_York,Common Stock
26-08-2021 14:40,148.015,148.03,147.86,147.8799,305367,5min,USD,America/New_York,Common Stock
26-08-2021 14:35,147.97501,148.02499,147.9314,148.0101,300270,5min,USD,America/New_York,Common Stock
26-08-2021 14:30,147.98,148.03999,147.9201,147.97501,307605,5min,USD,America/New_York,Common Stock
26-08-2021 14:25,147.96001,148.0103,147.89999,147.9846,284884,5min,USD,America/New_York,Common Stock
26-08-2021 14:20,147.91499,148.02,147.905,147.955,359418,5min,USD,America/New_York,Common Stock
26-08-2021 14:15,147.83501,147.99989,147.8333,147.91071,347181,5min,USD,America/New_York,Common Stock
26-08-2021 14:10,147.92,147.96001,147.83,147.84,335810,5min,USD,America/New_York,Common Stock
26-08-2021 14:05,148.02,148.045,147.88,147.9207,430942,5min,USD,America/New_York,Common Stock
26-08-2021 14:00,148.09,148.09,147.9301,148.0099,476034,5min,USD,America/New_York,Common Stock
26-08-2021 13:55,148.08501,148.17999,148.07001,148.08501,385864,5min,USD,America/New_York,Common Stock
26-08-2021 13:50,148.09,148.11501,148.03,148.08459,242286,5min,USD,America/New_York,Common Stock
26-08-2021 13:45,148.2251,148.23,148.0826,148.09,247204,5min,USD,America/New_York,Common Stock
26-08-2021 13:40,148.218,148.285,148.2101,148.22,243927,5min,USD,America/New_York,Common Stock
26-08-2021 13:35,148.21001,148.255,148.17999,148.22,189236,5min,USD,America/New_York,Common Stock
26-08-2021 13:30,148.07001,148.24001,148.06171,148.215,297574,5min,USD,America/New_York,Common Stock
